TAG,DUPLICATION TEXT,NUMBER OF DUPLICATION,URL
TITLE,Canada Adds Microbeads to List of Toxic Substances in Personal Care Products,2,"#
https://www.asiainspection.com/regulatory-updates/August-2016/canada-microbeads
http://www.asiainspection.com/regulatory-updates/August-2016/canada-microbeads"
TITLE,Canada Amends Toys Regulations SOR/2011-17,2,"#
https://www.asiainspection.com/regulatory-updates/January-2017/jan2017-canada-amends-toys-regulations
http://www.asiainspection.com/regulatory-updates/January-2017/jan2017-canada-amends-toys-regulations"
TITLE,Canada Approved Microbeads in Toiletries Regulations,2,"#
https://www.asiainspection.com/regulatory-updates/August-2017/aug2017-canada-microbead-regulations
http://www.asiainspection.com/regulatory-updates/August-2017/aug2017-canada-microbead-regulations"
TITLE,Canada DOE and DOH Intends to Move Forward in Asbestos Regulations Development,2,"#
https://www.asiainspection.com/regulatory-updates/February-2017/feb2017-canada-asbestos-regulations
http://www.asiainspection.com/regulatory-updates/February-2017/feb2017-canada-asbestos-regulations"
TITLE,Canada DOH Issues Guidance Regarding Recommended Concentration for DEGME in Surface Coating Materials,2,"#
https://www.asiainspection.com/regulatory-updates/January-2017/canada-concentration-degme
http://www.asiainspection.com/regulatory-updates/January-2017/canada-concentration-degme"
TITLE,Canada HC Proposes New Corded Window Coverings Regulation,2,"#
https://www.asiainspection.com/regulatory-updates/September-2017/sept2017-canada-corded-window-coverings
http://www.asiainspection.com/regulatory-updates/September-2017/sept2017-canada-corded-window-coverings"
TITLE,Canada HC Proposes New Playpens Regulations,2,"#
http://www.asiainspection.com/regulatory-updates/May-2017/may2017-canada-playpen-regulations
https://www.asiainspection.com/regulatory-updates/May-2017/may2017-canada-playpen-regulations"
TITLE,Canada Issues Guidance for Reporting Obligation for CMP,2,"#
http://www.asiainspection.com/regulatory-updates/February-2017/feb2017-canada-reporting-obligation
https://www.asiainspection.com/regulatory-updates/February-2017/feb2017-canada-reporting-obligation"
TITLE,Canada Opens Consultation on the Proposed Regulatory Approach regarding Formaldehyde in Composite Wood Products,2,"#
https://www.asiainspection.com/regulatory-updates/September-2017/sept2017-canada-formaldehyde-composite-wood-products
http://www.asiainspection.com/regulatory-updates/September-2017/sept2017-canada-formaldehyde-composite-wood-products"
TITLE,Canada Recalls Summary (January – February 2017),2,"#
https://www.asiainspection.com/regulatory-updates/March-2017/mar2017-canada-recalls-summary
http://www.asiainspection.com/regulatory-updates/March-2017/mar2017-canada-recalls-summary"
TITLE,Canada Recalls Summary (July – August 2016),2,"#
https://www.asiainspection.com/regulatory-updates/September-2016/canada-recalls-summary
http://www.asiainspection.com/regulatory-updates/September-2016/canada-recalls-summary"
TITLE,Canada Recalls Summary (March – April 2017),2,"#
https://www.asiainspection.com/regulatory-updates/May-2017/may2017-canada-recalls-summary
http://www.asiainspection.com/regulatory-updates/May-2017/may2017-canada-recalls-summary"
TITLE,Canada Recalls Summary (November – December 2016),2,"#
http://www.asiainspection.com/regulatory-updates/January-2017/jan2017-canada-recalls-summary
https://www.asiainspection.com/regulatory-updates/January-2017/jan2017-canada-recalls-summary"
TITLE,Canada Recalls Summary (September – October 2016),2,"#
https://www.asiainspection.com/regulatory-updates/November-2016/nov2016-canada-recalls-summary
http://www.asiainspection.com/regulatory-updates/November-2016/nov2016-canada-recalls-summary"
TITLE,Cargo Inspection Services - Container Loading Check (CLC),2,"#
http://www.asiainspection.com/container-loading-check
https://www.asiainspection.com/container-loading-check"
TITLE,China AQSIQ Implements New Policy on Import and Export Inspection and Quarantine on Certain Toys and Children Products,2,"#
http://www.asiainspection.com/regulatory-updates/October-2016/aqsiq-toys-quarantine
https://www.asiainspection.com/regulatory-updates/October-2016/aqsiq-toys-quarantine"
TITLE,China AQSIQ Launched 2016 Supervision & Inspection Plan of Imported & Exported Commodities,2,"#
http://www.asiainspection.com/regulatory-updates/May-2016/china-supervision-import-export
https://www.asiainspection.com/regulatory-updates/May-2016/china-supervision-import-export"
TITLE,China Issues Administrative Measures for the Restriction of Hazardous Substances in Electrical & Electronic Product (China RoHS 2),2,"#
http://www.asiainspection.com/regulatory-updates/March-2016/china-hazardous-electronics
https://www.asiainspection.com/regulatory-updates/March-2016/china-hazardous-electronics"
TITLE,China Issues Notice Related to Certain Industry Standards,2,"#
https://www.asiainspection.com/regulatory-updates/August-2017/aug2017-china-notice-industry-standards
http://www.asiainspection.com/regulatory-updates/August-2017/aug2017-china-notice-industry-standards"
TITLE,China MEP Issues New Technical Standards for Environmental Labelling of Textile Products,2,"#
http://www.asiainspection.com/regulatory-updates/January-2017/china-new-technical-standards-environmental-labelling
https://www.asiainspection.com/regulatory-updates/January-2017/china-new-technical-standards-environmental-labelling"
TITLE,China MIIT Issues FAQ for Upcoming New China RoHS Regulation,2,"#
https://www.asiainspection.com/regulatory-updates/June-2016/china-upcoming-regulation-
http://www.asiainspection.com/regulatory-updates/June-2016/china-upcoming-regulation-"
TITLE,China MIIT Issues Updated Product Standard List for Different Industries Including Textile & Light Industry,2,"#
http://www.asiainspection.com/regulatory-updates/May-2016/china-updated-standards-textile
https://www.asiainspection.com/regulatory-updates/May-2016/china-updated-standards-textile"
TITLE,China MIIT Proposes Draft Compliance Catalog and Exemption List for China RoHS 2,2,"#
http://www.asiainspection.com/regulatory-updates/September-2017/sept2017-china-miit-exemption-list-rohs-2
https://www.asiainspection.com/regulatory-updates/September-2017/sept2017-china-miit-exemption-list-rohs-2"
TITLE,China MIIT Proposes New Product Labeling Exemption under China RoHS 2,2,"#
https://www.asiainspection.com/regulatory-updates/November-2016/china-miit-new-product-labeling
http://www.asiainspection.com/regulatory-updates/November-2016/china-miit-new-product-labeling"
TITLE,"China Mandatory Standard for Infant & Children's Textile Products, GB 31701-2015 to be Enforced",2,"#
http://www.asiainspection.com/regulatory-updates/March-2016/china-childrens-textiles
https://www.asiainspection.com/regulatory-updates/March-2016/china-childrens-textiles"
TITLE,China Market Surveillance Summary (March to July 2017),2,"#
https://www.asiainspection.com/regulatory-updates/August-2017/aug2017-china-market-surveillance
http://www.asiainspection.com/regulatory-updates/August-2017/aug2017-china-market-surveillance"
TITLE,"China NHFPC Issues National Standard for Foods, Foods Additives, Food Contact Materials & Nipples",2,"#
http://www.asiainspection.com/regulatory-updates/May-2016/china-nhfpc-materials-and-nipples
https://www.asiainspection.com/regulatory-updates/May-2016/china-nhfpc-materials-and-nipples"
TITLE,"China NHFPC National Standard for Foods, Foods Additives, Food Contact Materials and Nipples Enters into Force",2,"#
https://www.asiainspection.com/regulatory-updates/September-2016/china-food-and-nipples
http://www.asiainspection.com/regulatory-updates/September-2016/china-food-and-nipples"
TITLE,"China National Standard for Children's Footwear, GB 30585-2014 In Force",2,"#
https://www.asiainspection.com/regulatory-updates/March-2016/china-childrens-footwear
http://www.asiainspection.com/regulatory-updates/March-2016/china-childrens-footwear"
TITLE,"China National Standard for Foods, Food Additives & Food Contact Materials Entered into Force",2,"#
https://www.asiainspection.com/regulatory-updates/May-2016/china-national-standard-for-foods
http://www.asiainspection.com/regulatory-updates/May-2016/china-national-standard-for-foods"
TITLE,China Proposes Draft GB Standard for Sunglasses & Sunglare Filters,2,"#
http://www.asiainspection.com/regulatory-updates/April-2016/china-sunglass-filters
https://www.asiainspection.com/regulatory-updates/April-2016/china-sunglass-filters"
TITLE,China Standards – Updates Summary,2,"#
https://www.asiainspection.com/regulatory-updates/September-2017/sept2017-china-standards-updates-summary
http://www.asiainspection.com/regulatory-updates/September-2017/sept2017-china-standards-updates-summary"
TITLE,Colombia Re-Introduced Chamber of Representatives Bill Related to Lead Content Requirement in Various Products,2,"#
https://www.asiainspection.com/regulatory-updates/September-2016/colombia-lead-content
http://www.asiainspection.com/regulatory-updates/September-2016/colombia-lead-content"
TITLE,Create An Account | AsiaInspection,2,"#
https://www.asiainspection.com/register
http://www.asiainspection.com/register"
TITLE,DTSC Seeking Public Comment - Listing of Flame Retardant Containing Children's Sleep Products as a First Priority Product,2,"#
http://www.asiainspection.com/regulatory-updates/August-2016/california-flame-retardant-products
https://www.asiainspection.com/regulatory-updates/August-2016/california-flame-retardant-products"
TITLE,DUPRO - During Production Inspection | In Process Quality Control,2,"#
http://www.asiainspection.com/during-production-inspection
https://www.asiainspection.com/during-production-inspection"
TITLE,Denmark Restricts N-nitrosamines in Soother & Teats,2,"#
http://www.asiainspection.com/regulatory-updates/March-2016/denmark-restricts-soothers
https://www.asiainspection.com/regulatory-updates/March-2016/denmark-restricts-soothers"
TITLE,During Production Inspection (DUPRO) Report Sample | AsiaInspection – Quality Control for Manufacturing,2,"#
http://www.asiainspection.com/samplereport/dupro-during-production-inspection
https://www.asiainspection.com/samplereport/dupro-during-production-inspection"
TITLE,EC Issues Notice on Market Surveillance of E-Commerce Products,2,"#
https://www.asiainspection.com/regulatory-updates/August-2017/aug2017-notice-market-surveillance-ecommerce
http://www.asiainspection.com/regulatory-updates/August-2017/aug2017-notice-market-surveillance-ecommerce"
TITLE,EC Publishes Guidance to RED,2,"#
http://www.asiainspection.com/regulatory-updates/June-2017/june-2017-ec-guidance-to-red
https://www.asiainspection.com/regulatory-updates/June-2017/june-2017-ec-guidance-to-red"
TITLE,ECHA Announces Agreed Proposal to Restrict Four Phthalates in Plasticized Materials,2,"#
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-echa-proposal-restrict-phthalates
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-echa-proposal-restrict-phthalates"
TITLE,ECHA Approved Addition of Chemicals to REACH List of Authorized Chemicals,2,"#
http://www.asiainspection.com/regulatory-updates/July-2017/july2017-echa-addition-reach-list-chemicalsy
https://www.asiainspection.com/regulatory-updates/July-2017/july2017-echa-addition-reach-list-chemicalsy"
TITLE,ECHA Approves Amendment of Annex XVII List of Restriction Introducing DecaBDE,2,"#
https://www.asiainspection.com/regulatory-updates/March-2017/mar2017-echa-amendment-decabde
http://www.asiainspection.com/regulatory-updates/March-2017/mar2017-echa-amendment-decabde"
TITLE,ECHA Approves Amendment of Annex XVII List of Restriction Introducing PFOA,2,"#
https://www.asiainspection.com/regulatory-updates/July-2017/july2017-echa-amendment-restriction-pfoa
http://www.asiainspection.com/regulatory-updates/July-2017/july2017-echa-amendment-restriction-pfoa"
TITLE,ECHA Approves the Guidance Document for REACH Compliance (Version 4),2,"#
http://www.asiainspection.com/regulatory-updates/August-2017/aug2017-echa-approves-reach-compliance
https://www.asiainspection.com/regulatory-updates/August-2017/aug2017-echa-approves-reach-compliance"
TITLE,ECHA Intends to Propose 5 Chemicals as SVHC,2,"#
http://www.asiainspection.com/regulatory-updates/July-2017/july2017-echa-new-svhc-chemicals
https://www.asiainspection.com/regulatory-updates/July-2017/july2017-echa-new-svhc-chemicals"
TITLE,ECHA Issues Draft Guidance Document for REACH Compliance (Version 4),2,"#
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-echa-guidance-document-reach-compliance-v4
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-echa-guidance-document-reach-compliance-v4"
TITLE,ECHA Opens Consultation on Listing Certain SVHCs as Authorized Chemicals,2,"#
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-echa-consultation-svhcs-authorized-chemicals
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-echa-consultation-svhcs-authorized-chemicals"
TITLE,ECHA Opens Public Consultation for 2 Potential Chemicals as SVHCs,2,"#
http://www.asiainspection.com/regulatory-updates/April-2017/apr2017-echa-public-consultation-svhcs
https://www.asiainspection.com/regulatory-updates/April-2017/apr2017-echa-public-consultation-svhcs"
